gamename,year,month,avg,gain,peak,avg_peak_perc
Counter-Strike: Global Offensive,2021,February,741013.24,-2196.42,1123485,65.9567%
Counter-Strike: Global Offensive,2021,January,743209.66,25405.91,1124553,66.0893%
Counter-Strike: Global Offensive,2020,December,717803.75,49049.17,1164396,61.646%
Counter-Strike: Global Offensive,2020,November,668754.58,55087.89,1037464,64.4605%
Counter-Strike: Global Offensive,2020,October,613666.69,6816.37,943876,65.0156%
Counter-Strike: Global Offensive,2020,September,606850.32,-33107.34,977769,62.0648%
Counter-Strike: Global Offensive,2020,August,639957.66,14056.85,925348,69.1586%
Counter-Strike: Global Offensive,2020,July,625900.81,-45746.65,857560,72.9862%
Counter-Strike: Global Offensive,2020,June,671647.46,-97147.79,1009467,66.5349%
Counter-Strike: Global Offensive,2020,May,768795.25,-88808.97,1193359,64.4228%
Counter-Strike: Global Offensive,2020,April,857604.22,186570.94,1305714,65.6809%
Counter-Strike: Global Offensive,2020,March,671033.29,127054.13,1145972,58.5558%
Counter-Strike: Global Offensive,2020,February,543979.15,42783.15,916996,59.3219%
Counter-Strike: Global Offensive,2020,January,501196,44494.44,817229,61.3287%
Counter-Strike: Global Offensive,2019,December,456701.56,30620.76,767060,59.5392%
Counter-Strike: Global Offensive,2019,November,426080.81,17085.5,758412,56.1807%
Counter-Strike: Global Offensive,2019,October,408995.31,-1930.29,747937,54.6831%
Counter-Strike: Global Offensive,2019,September,410925.6,-4171.7,720052,57.0689%
Counter-Strike: Global Offensive,2019,August,415097.3,21314.48,647461,64.1116%
Counter-Strike: Global Offensive,2019,July,393782.83,4406.1,578933,68.0187%
Counter-Strike: Global Offensive,2019,June,389376.72,24959.42,587724,66.2516%
Counter-Strike: Global Offensive,2019,May,364417.31,12427.39,588453,61.928%
Counter-Strike: Global Offensive,2019,April,351989.92,-38250.24,621614,56.6252%
Counter-Strike: Global Offensive,2019,March,390240.16,18881.2,680071,57.3823%
